# Source     : particleCollector
# Bins       : 30
# Total area : 0.007845909573
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.05623338902 0.02702535087 0.005)	3.138363829e-05
#	1	(0.05385244628 0.03030243741 0.005)	3.138363829e-05
#	2	(0.05 0.03155417309 0.005)	3.138363829e-05
#	3	(0.04614755372 0.03030243741 0.005)	3.138363829e-05
#	4	(0.04376661098 0.02702535087 0.005)	3.138363829e-05
#	5	(0.04376661098 0.02297464913 0.005)	3.138363829e-05
#	6	(0.04614755372 0.01969756259 0.005)	3.138363829e-05
#	7	(0.05 0.01844582691 0.005)	3.138363829e-05
#	8	(0.05385244628 0.01969756259 0.005)	3.138363829e-05
#	9	(0.05623338902 0.02297464913 0.005)	3.138363829e-05
#	10	(0.06736444085 0.03064204885 0.005)	0.000164764101
#	11	(0.06073181464 0.03977107565 0.005)	0.000164764101
#	12	(0.05 0.0432580536 0.005)	0.000164764101
#	13	(0.03926818536 0.03977107565 0.005)	0.000164764101
#	14	(0.03263555915 0.03064204885 0.005)	0.000164764101
#	15	(0.03263555915 0.01935795115 0.005)	0.000164764101
#	16	(0.03926818536 0.01022892435 0.005)	0.000164764101
#	17	(0.05 0.006741946397 0.005)	0.000164764101
#	18	(0.06073181464 0.01022892435 0.005)	0.000164764101
#	19	(0.06736444085 0.01935795115 0.005)	0.000164764101
#	20	(0.08636143598 0.03681454673 0.005)	0.000588443218
#	21	(0.07247260331 0.05593088491 0.005)	0.000588443218
#	22	(0.05 0.06323267635 0.005)	0.000588443218
#	23	(0.02752739669 0.05593088491 0.005)	0.000588443218
#	24	(0.01363856402 0.03681454673 0.005)	0.000588443218
#	25	(0.01363856402 0.01318545327 0.005)	0.000588443218
#	26	(0.02752739669 -0.005930884905 0.005)	0.000588443218
#	27	(0.05 -0.01323267635 0.005)	0.000588443218
#	28	(0.07247260331 -0.005930884905 0.005)	0.000588443218
#	29	(0.08636143598 0.01318545327 0.005)	0.000588443218
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	massFlowRate[29]
0.06	2	8.219553516e-06	2.490773793e-05
0.06	3	3.278292623e-05	0.000182127368
0.06	4	0	0
0.06	5	3.779091345e-05	0.0001274584083
0.06	6	0.000180854995	0.001021260295
0.06	7	0.0001101523623	0.0003701586737
0.06	8	7.213511935e-05	0.0002251105403
0.06	9	2.294760846e-05	9.131222903e-05
0.06	10	0	0
0.06	11	0	0
0.06	12	0	0
0.06	13	0	0
0.06	14	0	0
0.06	15	0	0
0.06	16	0	0
0.06	17	0	0
0.06	18	0	0
0.06	19	0	0
0.06	20	0	0
0.06	21	0	0
0.06	22	0	0
0.06	23	0	0
0.06	24	0	0
0.06	25	0	0
0.06	26	0	0
0.06	27	0	0
0.06	28	0	0
0.06	29	0	0
0.065	0	0	0
0.065	1	1.655984695e-05	3.639526802e-05
0.065	2	2.477940047e-05	6.130300595e-05
0.065	3	3.278292623e-05	0.000182127368
0.065	4	0	0
0.065	5	3.779091345e-05	0.0001274584083
0.065	6	0.000180854995	0.001021260295
0.065	7	0.0001101523623	0.0003701586737
0.065	8	0.0001226918132	0.0003362241531
0.065	9	3.50402219e-05	0.0001178894014
0.065	10	0	0
0.065	11	0	0
0.065	12	0	0
0.065	13	0	0
0.065	14	0	0
0.065	15	0	0
0.065	16	0	0
0.065	17	0	0
0.065	18	0	0
0.065	19	0	0
0.065	20	0	0
0.065	21	0	0
0.065	22	0	0
0.065	23	0	0
0.065	24	0	0
0.065	25	0	0
0.065	26	0	0
0.065	27	0	0
0.065	28	0	0
0.065	29	0	0
0.07	0	0	0
0.07	1	1.655984695e-05	3.639526802e-05
0.07	2	2.477940047e-05	6.130300595e-05
0.07	3	3.278292623e-05	0.000182127368
0.07	4	0	0
0.07	5	3.779091345e-05	0.0001274584083
0.07	6	0.0001891952696	0.001037146532
0.07	7	0.0001184926369	0.000386044911
0.07	8	0.0001226918132	0.0003362241531
0.07	9	3.50402219e-05	0.0001178894014
0.07	10	0	0
0.07	11	0	0
0.07	12	0	0
0.07	13	0	0
0.07	14	0	0
0.07	15	0	0
0.07	16	0	0
0.07	17	0	0
0.07	18	0	0
0.07	19	0	0
0.07	20	0	0
0.07	21	0	0
0.07	22	0	0
0.07	23	0	0
0.07	24	0	0
0.07	25	0	0
0.07	26	0	0
0.07	27	0	0
0.07	28	0	0
0.07	29	0	0
0.075	0	2.463439601e-05	4.105732668e-05
0.075	1	1.655984695e-05	3.639526802e-05
0.075	2	2.477940047e-05	6.130300595e-05
0.075	3	3.278292623e-05	0.000182127368
0.075	4	0	0
0.075	5	3.779091345e-05	0.0001274584083
0.075	6	0.0001891952696	0.001037146532
0.075	7	0.0001184926369	0.000386044911
0.075	8	0.0001730008779	0.0004200725942
0.075	9	3.50402219e-05	0.0001178894014
0.075	10	0	0
0.075	11	0	0
0.075	12	0	0
0.075	13	0	0
0.075	14	0	0
0.075	15	0	0
0.075	16	0	0
0.075	17	0	0
0.075	18	0	0
0.075	19	0	0
0.075	20	0	0
0.075	21	0	0
0.075	22	0	0
0.075	23	0	0
0.075	24	0	0
0.075	25	0	0
0.075	26	0	0
0.075	27	0	0
0.075	28	0	0
0.075	29	0	0
0.08	0	2.463439601e-05	4.105732668e-05
0.08	1	1.655984695e-05	3.639526802e-05
0.08	2	2.477940047e-05	6.130300595e-05
0.08	3	3.278292623e-05	0.000182127368
0.08	4	0	0
0.08	5	3.779091345e-05	0.0001274584083
0.08	6	0.0001891952696	0.001037146532
0.08	7	0.0001277844132	0.0003997092879
0.08	8	0.0002232876608	0.0004940237455
0.08	9	3.50402219e-05	0.0001178894014
0.08	10	0	0
0.08	11	0	0
0.08	12	0	0
0.08	13	0	0
0.08	14	0	0
0.08	15	0	0
0.08	16	0	0
0.08	17	0	0
0.08	18	0	0
0.08	19	0	0
0.08	20	0	0
0.08	21	0	0
0.08	22	0	0
0.08	23	0	0
0.08	24	0	0
0.08	25	0	0
0.08	26	0	0
0.08	27	0	0
0.08	28	0	0
0.08	29	0	0
0.085	0	3.940042535e-05	6.035932582e-05
0.085	1	1.655984695e-05	3.639526802e-05
0.085	2	2.477940047e-05	6.130300595e-05
0.085	3	3.278292623e-05	0.000182127368
0.085	4	0	0
0.085	5	3.779091345e-05	0.0001274584083
0.085	6	0.0002039612989	0.001056448531
0.085	7	0.0001277844132	0.0003997092879
0.085	8	0.0002739169676	0.0005602058459
0.085	9	3.50402219e-05	0.0001178894014
0.085	10	0	0
0.085	11	0	0
0.085	12	0	0
0.085	13	0	0
0.085	14	0	0
0.085	15	0	0
0.085	16	0	0
0.085	17	0	0
0.085	18	0	0
0.085	19	0	0
0.085	20	0	0
0.085	21	0	0
0.085	22	0	0
0.085	23	0	0
0.085	24	0	0
0.085	25	0	0
0.085	26	0	0
0.085	27	0	0
0.085	28	0	0
0.085	29	0	0
0.09	0	3.940042535e-05	6.035932582e-05
0.09	1	1.655984695e-05	3.639526802e-05
0.09	2	2.477940047e-05	6.130300595e-05
0.09	3	3.278292623e-05	0.000182127368
0.09	4	0	0
0.09	5	5.830890561e-05	0.0001514560599
0.09	6	0.0002039612989	0.001056448531
0.09	7	0.0001778848851	0.0004583063311
0.09	8	0.0002739169676	0.0005602058459
0.09	9	3.50402219e-05	0.0001178894014
0.09	10	0	0
0.09	11	0	0
0.09	12	0	0
0.09	13	0	0
0.09	14	0	0
0.09	15	0	0
0.09	16	0	0
0.09	17	0	0
0.09	18	0	0
0.09	19	0	0
0.09	20	0	0
0.09	21	0	0
0.09	22	0	0
0.09	23	0	0
0.09	24	0	0
0.09	25	0	0
0.09	26	0	0
0.09	27	0	0
0.09	28	0	0
0.09	29	0	0
0.095	0	3.940042535e-05	6.035932582e-05
0.095	1	1.655984695e-05	3.639526802e-05
0.095	2	2.477940047e-05	6.130300595e-05
0.095	3	3.278292623e-05	0.000182127368
0.095	4	0	0
0.095	5	5.830890561e-05	0.0001514560599
0.095	6	0.0002039612989	0.001056448531
0.095	7	0.0002279065479	0.000510960713
0.095	8	0.0002739169676	0.0005602058459
0.095	9	5.555821406e-05	0.0001394872879
0.095	10	0	0
0.095	11	0	0
0.095	12	0	0
0.095	13	0	0
0.095	14	0	0
0.095	15	0	0
0.095	16	0	0
0.095	17	0	0
0.095	18	0	0
0.095	19	0	0
0.095	20	0	0
0.095	21	0	0
0.095	22	0	0
0.095	23	0	0
0.095	24	0	0
0.095	25	0	0
0.095	26	0	0
0.095	27	0	0
0.095	28	0	0
0.095	29	0	0
